user,context,value
L1,intuitive,1
L1,reflective,1
L1,verbal,1
L1,global,1
L1,knowledge_level,1
L2,intuitive,1
L2,reflective,1
L2,verbal,1
L2,sequential,1
L2,knowledge_level,1
L3,intuitive,1
L3,reflective,2
L3,verbal,2
L3,sequential,2
L3,knowledge_level,2
L4,intuitive,1
L4,reflective,2
L4,verbal,2
L4,sequential,3
L4,knowledge_level,3
L5,intuitive,1
L5,reflective,2
L5,verbal,3
L5,global,2
L5,knowledge_level,2
L6,intuitive,1
L6,reflective,3
L6,verbal,3
L6,sequential,1
L6,knowledge_level,2
L7,intuitive,1
L7,reflective,3
L7,visual,1
L7,sequential,2
L7,knowledge_level,2
L8,intuitive,1
L8,reflective,3
L8,visual,1
L8,sequential,3
L8,knowledge_level,2
L9,intuitive,1
L9,active,1
L9,visual,2
L9,global,3
L9,knowledge_level,2
L10,intuitive,1
L10,active,1
L10,visual,2
L10,sequential,1
L10,knowledge_level,3
