learner_id,Name,Class,Gender,Sensing,Intuitive,active,reflective,visual,verbal,sequential,global,knowledge_level
L1,Russell Mercer,SE,Male,0,1,0,1,0,1,0,1,1
L2,Maurice Browning,SE,Male,0,1,0,1,0,1,1,0,1
L3,Malachi Benitez,SE,Male,0,1,0,2,0,2,2,0,2
L4,Terrell Hancock,SE,Male,0,1,0,2,0,2,3,0,3
L5,Addyson Foster,SE,Male,0,1,0,2,0,3,0,2,2
L6,Bruno Orr,SE,Male,0,1,0,3,0,3,1,0,2
L7,Hamza Tucker,SE,Male,0,1,0,3,1,0,2,0,2
L8,Shelby Weaver,SE,Male,0,1,0,3,1,0,3,0,2
L9,Harper Hensley,SE,Male,0,1,1,0,2,0,0,3,2
L10,Naima Valdez,SE,Male,0,1,1,0,2,0,1,0,3
L11,Cherish Atkinson,SE,Male,0,2,1,0,3,0,2,0,1
L12,Macy Lin,SE,Male,0,2,1,0,3,0,3,0,1
L13,Lucy Stone,SE,Male,0,2,1,0,0,1,0,1,1
L14,Felix Miller,SE,Male,0,2,1,0,0,1,1,0,1
L15,Landyn Abbott,SE,Male,0,2,2,0,0,2,2,0,2
L16,Kael Nolan,SE,Male,0,2,2,0,0,2,3,0,2
L17,Kaylen Cameron,SE,Male,0,2,2,0,0,3,0,2,2
L18,Sanaa Haas,SE,Male,0,2,2,0,0,3,1,0,2
L19,Terrance Avery,SE,Male,0,2,2,0,1,0,2,0,3
L20,Jaylen Hayden,SE,Male,0,2,2,0,1,0,3,0,3
L21,Zariah Russo,SE,Male,0,3,2,0,2,0,0,3,3
L22,Keely Parrish,SE,Male,0,3,2,0,2,0,1,0,1
L23,Madden Rodgers,SE,Male,0,3,2,0,3,0,2,0,3
L24,Kali Wilson,SE,Male,0,3,3,0,3,0,3,0,1
L25,Mike Alexander,SE,Male,0,3,3,0,0,1,0,1,2
L26,Macie Powers,SE,Male,0,3,3,0,0,1,1,0,2
L27,Gunner James,SE,Male,0,3,3,0,0,2,2,0,3
L28,Lana Rocha,SE,Male,0,3,3,0,0,2,3,0,3
L29,Laci Ellis,SE,Male,0,3,3,0,0,3,0,2,2
L30,Aryan Hurley,SE,Male,0,3,3,0,0,3,1,0,3
